Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,CR1220/1225,BF@BatteryHolder_Takachi_SMTM1225,27.5,11.5,90,top
C1,100n,BF@C_0603_1608Metric,23.66,24.13,0,top
C2,15p,BF@C_0603_1608Metric,30.2,24.13,180,top
C3,30p,C_Trimmer_Murata_TZC3,35,28.11,90,top
D1,1N4148,BF@D_SOD-123,18.065,24.13,180,top
D2,1N4148,BF@D_SOD-123,19.685,19.05,270,top
J1,M-BUS,BF@M5Stack_MBUS,6,25,0,top
R1,10k,BF@R_0603_1608Metric,38.1,35.56,180,top
R2,10k,BF@R_0603_1608Metric,38.1,38.1,180,top
SW1,SW_DIP_x04,BF@SW_DIP_SPSTx04_Slide_XKB_DSHP04TS-S_W7.62mm_P1.27mm,31.115,37.465,270,top
U2,PCF8563T,SOIC-8_3.9x4.9mm_P1.27mm,25.465,27.94,90,top
Y1,32768Hz,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm,31,27.285,90,top
